Country,Region,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13
Fiji,Asia-Pacific,67.30,42.90,23.40,81.10,71.70,82.40,63.00,72.90,73.50,62.80,55.00,50.00,62.20,8.70,3.80,3.70,9777.00,6.30,3.40,299.00,46.60,11.10,29.00,20.00,25.50,30.70
Finland,Europe,89.60,81.20,92.50,66.80,7.20,86.40,89.40,50.30,84.80,86.00,85.00,80.00,74.90,244.00,3.00,0.80,44333.00,8.60,0.80,1327.90,61.40,2.00,31.30,20.00,44.10,55.60
France,Europe,82.50,66.10,67.90,48.40,3.90,64.90,81.20,45.20,79.10,81.00,75.00,70.00,63.80,2835.80,1.80,1.10,43761.00,9.40,1.20,49794.90,97.00,2.00,45.00,33.00,45.30,56.60
Gabon,Sub-Saharan Africa,28.10,30.60,35.50,75.80,86.60,82.10,52.10,53.00,80.00,51.20,60.00,40.00,56.30,36.70,0.80,3.40,19254.00,19.70,3.00,1498.00,61.10,16.90,35.00,30.00,17.30,21.10
Gambia,Sub-Saharan Africa,39.90,42.50,41.20,74.30,70.70,0.00,54.00,67.40,62.40,61.60,65.00,50.00,52.40,3.60,3.50,3.10,1713.00,9.50,8.00,87.50,123.20,14.20,35.00,32.00,17.90,31.30
Georgia,Europe,65.90,54.60,58.50,87.10,73.60,93.90,85.80,76.60,76.00,88.60,80.00,70.00,75.90,39.70,4.80,3.70,10747.00,11.60,6.00,1861.90,44.90,0.70,20.00,15.00,25.80,29.60
Germany,Europe,79.90,75.40,81.30,60.80,42.30,91.80,83.30,52.80,77.90,86.00,80.00,70.00,73.50,4170.80,2.50,1.70,50425.00,3.80,1.70,34726.30,64.10,2.00,47.50,15.80,37.60,43.90
Ghana,Sub-Saharan Africa,49.10,44.20,35.50,78.80,82.00,23.90,56.50,59.90,66.30,63.40,70.00,60.00,57.50,133.70,8.40,5.50,4729.00,2.40,12.40,3255.00,71.80,10.80,35.00,25.00,16.50,24.50
Greece,Europe,52.40,49.50,37.70,59.10,23.30,79.00,74.10,52.50,79.10,81.00,55.00,50.00,57.70,298.70,1.40,-0.30,27737.00,21.50,1.10,4046.00,181.90,2.00,42.00,29.00,38.60,50.60
Guatemala,Americas,40.30,32.30,26.40,79.20,95.60,96.20,53.60,48.70,77.00,82.20,70.00,50.00,62.60,137.80,2.80,3.60,8145.00,2.70,4.40,1146.70,24.40,1.40,31.00,31.00,12.60,12.10
Guinea,Sub-Saharan Africa,34.70,32.60,25.50,69.40,89.80,87.20,54.60,54.90,66.40,63.20,50.00,40.00,55.70,26.50,6.70,4.90,2041.00,4.50,8.90,576.50,39.70,10.90,40.00,35.00,15.30,18.40
Guinea-Bissau,Sub-Saharan Africa,32.60,42.90,25.30,88.80,86.70,81.40,35.90,61.20,78.10,55.60,30.00,30.00,54.00,3.10,5.50,4.30,1845.00,6.10,1.10,16.60,42.00,12.20,20.00,25.00,9.60,21.00
Guyana,Americas,41.70,42.90,33.20,67.00,69.40,77.60,59.30,62.00,76.90,66.80,55.00,30.00,56.80,6.30,2.10,3.50,8161.00,12.00,2.10,212.20,50.70,6.60,33.30,40.00,24.40,32.00
Haiti,Americas,10.40,25.30,20.30,79.90,88.30,95.90,36.20,62.60,66.50,72.00,45.00,30.00,52.70,19.90,1.20,2.20,1815.00,14.00,14.70,374.90,31.10,6.50,30.00,30.00,14.50,19.70
Honduras,Americas,43.40,31.00,25.30,82.80,78.20,95.90,56.90,32.00,73.00,79.40,65.00,60.00,60.20,46.20,4.80,3.60,5562.00,4.50,3.90,1185.70,43.90,2.80,25.00,25.00,21.60,27.00
Hong Kong,Asia-Pacific,93.30,75.30,83.80,93.10,90.30,100.00,96.40,89.20,86.40,95.00,90.00,90.00,90.20,454.90,3.80,2.80,61393.00,3.10,1.50,104333.00,0.10,0.00,15.00,16.50,14.00,17.90
Hungary,Europe,60.90,45.20,35.30,78.60,31.70,85.00,61.10,64.70,81.80,86.00,80.00,70.00,65.00,289.00,4.00,3.20,29474.00,4.20,2.40,2491.60,69.90,2.00,15.00,19.00,39.40,47.70
Iceland,Europe,87.40,63.80,83.80,72.70,44.00,96.70,88.40,64.10,81.70,87.00,85.00,70.00,77.10,17.60,3.60,4.40,51842.00,2.80,1.80,-5.40,40.90,1.50,31.80,20.00,36.40,43.20
India,Asia-Pacific,57.30,61.60,47.80,79.40,77.30,14.70,57.10,41.80,72.40,72.40,40.00,40.00,55.20,9459.00,6.70,7.20,7183.00,3.50,3.60,39916.10,70.20,6.30,30.90,32.40,7.20,27.50
Indonesia,Asia-Pacific,52.20,53.50,39.50,83.70,91.40,88.10,69.30,49.30,77.40,79.80,45.00,60.00,65.80,3242.80,5.10,5.10,12377.00,4.20,3.80,23063.10,28.90,2.60,30.00,25.00,10.40,16.90
Iran,Middle East and North Africa,33.50,41.30,35.00,80.90,89.80,89.50,62.20,50.70,60.10,54.60,5.00,10.00,51.10,1644.70,4.30,3.60,20200.00,12.50,9.90,5019.00,40.90,15.20,35.00,25.00,8.00,18.50
